citation,artist
Tu m'fais chier comme un mec qui te conseille à la salle,Pinocchio
"Ma fille si j'prends pour 10 ans ferme, ne noie pas ton chagrin dans du sperme",Débrouillard
"J'suis incapable de nous voir ensemble, mon cœur est myope de souche",Autotune
"Tu passes à la télé mais t'es pas connu, en gros tu prends dans l'cul mais t'es pas pédé",Exutoire
"J'les porte dans mon cœur, ils me portent l'œil",Δ. Dieu ne ment jamais
"J'la baise dans l'cul, j'paye pas la dot",Périscope
"J'sors pour m'en sortir, baise pour pouvoir aimer, manquer d’endorphine, mon cœur veut s'arrêter",Rêves bizarres
"Ta meuf a un anneau dans le ventre, je l'ai doigtée au point que j'en suis passé entre, autrement dit nous sommes fiancés",Débrouillard
"Je voulais une pute, j'ai reçu le Rap FR, je vis sous l'orage car j'aime quand tout est clair",Iscariote
"J'viens pas du ghetto, je n'viens pas des cités, donc si j'dois te niquer, j'le ferai seul tout",Α. Nwaar Is The New Black
"Épuisé par la drogue féminine, rappeur connu, être humain anonyme",Rêves bizarres
"J'suis dans sa schnek, t'es dans sa friendzone, tu l'as jamais tiré sauf au paintball",Η. Gova
"Du mal à appréhender l'futur, car dans ma vision j'suis immortel",Γ. Mosaïque solitaire
"Un cœur d'ange dans un corps de pute, obligé que j'la baise",Jean Reno
"Si j'veux être, il m'faut des avoirs",B. #QuedusaalVie
"J'monte de level dans les nudes, j'en reçois de comptes certifiés",SMOG
"J'ai mis la vie dans son ventre, la première fois que pour bonne raison, elle mouilla. Un peu d'paradis dans mon monde, loin du six fois trois mais proche du alléluia",Ζ. Kietu
"J'n'ai rien à perdre en soi, vu qu'on n'emporte rien avec soi~Damso",Γ. Mosaïque solitaire
"Elle veut maison, enfants, mais j'suis là que pour faire du sale, mais je n'ose pas lui dire, je n'veux pas faire de peine. Et si j'lui disais tout c'que je ressens sur l'instrumentale, avec de l'autotune ça passera p't-être mieux",Autotune
"Ma bite dans le gros cul du passé, mais c'est dans l'tur-fu que j'ai craché",B. #QuedusaalVie
J'étais l'dernier à faire le premier pas,Amnésie
"Comme ma terre, j'suis riche que sous les décombres, je pleure que de l'intérieur pour que mes soucis se noient",Γ. Mosaïque solitaire
"T'es dans les flyers, j'suis dans les journaux, des chaînes d'esclaves aux chaînes en or",Introduction
"La bitch fait sa Françoise Hollande, je lui dis de partir, mais elle en redemande",Autotune
"Tu baises avec moi, tu baises avec d'autres, même si j'fais pareil, c'est pas la même chose. Ben oui et non, moi j'ai besoin de ma dose, ma libido",Θ. Macarena
"Me serre pas la main, fais-moi un #Vie",Γ. Mosaïque solitaire
"Ton cercueil, il n'y a que là que j'ai touché du bois, tu m'fais chier comme Arthur au nouvel an",Graine de sablier
Y'a qu'à Détroit que j'aurais besoin de piston,Η. Gova
"J'me construis plus dans le regard des autres, j'suis ni des leurs, ni des vôtres, ni des nôtres",Amnésie
"Je suis jeune, j'm'en fous de l'avenir, de ce que notre relation va devenir",Θ. Macarena
"Pourquoi changer mon sort ? Un parfum inodore, une douleur indolore",Festival de rêves
"En chacun d'nous habite Dieu qu'il m'dit, sa maison s'trouve dans nos cœurs qu'il m'dit. Donc, excusez-moi Seigneur qu'j'lui dis, si mes poumons sentent trop la beuh",Γ. Mosaïque solitaire
Tout niquer tout niquer comme Gargamel j'ai un rêve bleu très particulier,Jean Reno
"Dans l'ombre j'leur mets des doigts, j'ai l'majeur à Noob Saibot",Μ. Noob Saibot
"Le monde est fait de gens qui font les choses et ceux qui disent qu'ils auraient pu le faire, auraient dû le faire, vont sûrement le faire et ceux qui sont juste en train d'faire les choses",Baltringue
Souvent les plus moches qui sucent le mieux,B. #QuedusaalVie
"Je réserve une balle pour celui qui en aide jamais ne te viendra. J'ferai le ménage, j'vais nettoyer celui qui entre nous se tiendra",Ι. Peur d'être père
"Déso pour ce que je fais au sexe feminin sans le vouloir, j'ai tendance a confondre toutes les femmes à celles du trottoir",Beautiful
J'suis suspecté comme si j'venais d'sortir d'chez Jawad,Périscope
"Le temps j'aimerai pouvoir le manier, trouver les graines du sablier. M'emparer de l'avenir, du destin de ma mère à venir, lui dire qu'elle n'est plus obligée de s'en aller",Graine de sablier
"C’est écrit noir sur blanc que, le blanc, c’est mieux qu'le noir car le noir, il est foncé. Le racisme depuis Jésus blanchit, pourtant cheveux laineux, pieds de bronze",Rêves bizarres
"D'amour et de sperme, j'ai repeint ses lèvres",Α. Nwaar Is The New Black
Tu fais l'intelligent mais suffit d'une bastos pour qu'j'enterre ton savoir vivant,Introduction
"Mais j'suis pas doué dès qu'on s'éloigne des draps, j'suis plus dans le suce-moi et concentre-toi",Amnésie
"J'suis un rappeur, auteur, compositeur, autant dire que j'mène ma vie comme je l'entends",Ζ. Kietu
